Feature,VIF
lon_norm,47.1189529948763
lat_norm,40.78786400467686
median_rooms,31.597593132184006
median_year_built,31.050197095428818
total_housing_units,28.990014913388812
population,28.2671720665461
Rooms_per_Unit,14.805735038168244
Wildfire_Risk_per_House,12.769601425406107
Housing_Density,10.151653989755383
median_income,9.645571795634579
High_Risk_Dense_Area,8.756075893917656
fault_nearby,7.247422728814227
Building_Age,6.637008816417424
ZHVI_value,6.021048228882164
median_home_value,5.843015917050435
Income_to_Home_Value,5.746284347694216
Earthquake_Risk,5.559388764008598
ZHVI_to_Census_Ratio,3.279876666629406
Fire_Risk,3.0490139516105232
km_to_fault,3.040645823429701
Wealth_Risk_Score,2.5393353962115723
total_wildfire_days,1.4194741682745802
population_density,1.3788762161569799
